"id","name","country_id","created_at","updated_at","position"
60,"Berlin",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
559,"Iğdır",67,"2015-05-12 11:59:43.350993","2015-05-12 11:59:43.350993",241
68,"Rheinland-Pfalz",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
67,"Nordrhein-Westfalen",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
568,"Pasardschik",19,"2015-05-12 13:05:21.094766","2015-05-12 13:05:21.094766",250
65,"Mecklenburg-Vorpommern",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
64,"Hessen",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
63,"Hamburg",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
61,"Brandenburg",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
59,"Bayern",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
58,"Baden-Württemberg",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
62,"Bremen",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
72,"Schleswig-Holstein",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
69,"Saarland",1,"2010-11-04 12:50:36","2010-11-04 12:50:36",
36,"Thurgau",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
29,"Obwalden",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
30,"Ostschweiz",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
31,"Région Lémanique",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
32,"Sankt Gallen",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
33,"Schaffhausen",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
34,"Schwyz",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
38,"Uri",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
39,"Valais",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
40,"Vaud",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
41,"Zentralschweiz",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
28,"Nordwestschweiz",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
43,"Zürich",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
35,"Solothurn",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
42,"Zug",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
19,"Espace Mittelland",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
27,"Nidwalden",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
14,"Appenzell Ausser-Rhoden",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
15,"Appenzell Inner-Rhoden",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
16,"Basel-Landschaft",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
37,"Ticino",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
18,"Bern",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
20,"Fribourg",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
13,"Aargau",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
21,"Geneve-Genf",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
22,"Glarus",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
23,"Graubünden",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
24,"Jura",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
25,"Luzern",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
26,"Neuchatel",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
17,"Basel-Stadt",2,"2010-11-04 12:50:36","2010-11-04 12:50:36",
9,"Wien",3,"2010-11-04 12:50:36","2010-11-04 12:50:36",
2,"Kärnten",3,"2010-11-04 12:50:36","2010-11-04 12:50:36",
3,"Niederösterreich",3,"2010-11-04 12:50:36","2010-11-04 12:50:36",
4,"Oberösterreich",3,"2010-11-04 12:50:36","2010-11-04 12:50:36",
5,"Salzburg",3,"2010-11-04 12:50:36","2010-11-04 12:50:36",
6,"Steiermark",3,"2010-11-04 12:50:36","2010-11-04 12:50:36",
7,"Tirol",3,"2010-11-04 12:50:36","2010-11-04 12:50:36",
8,"Vorarlberg",3,"2010-11-04 12:50:36","2010-11-04 12:50:36",
1,"Burgenland",3,"2010-11-04 12:50:36","2010-11-04 12:50:36",
112,"Noord-Holland",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
105,"Drenthe",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
116,"Zuid-Holland",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
115,"Zeeland",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
114,"Utrecht",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
113,"Overijssel",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
110,"Limburg",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
109,"Groningen",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
108,"Gelderland",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
106,"Flevoland",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
107,"Fryslân",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
111,"Noord-Brabant",4,"2010-11-04 12:50:36","2010-11-04 12:50:36",
12,"Wallonische Region",5,"2010-11-04 12:50:36","2010-11-04 12:50:36",
10,"Flämische Region",5,"2010-11-04 12:50:36","2010-11-04 12:50:36",
11,"Region Brüssel-Hauptstadt",5,"2010-11-04 12:50:36","2010-11-04 12:50:36",
104,"Rhône-Alpes",7,"2010-11-04 12:50:36","2010-11-04 12:50:36",
94,"Limousin",7,"2010-11-04 12:50:36","2010-11-04 12:50:36",
95,"Lothringen",7,"2010-11-04 12:50:36","2010-11-04 12:50:36",
96,"Martinique",7,"2010-11-04 12:50:36","2010-11-04 12:50:36",
97,"Midi-Pyrénées",7,"2010-11-04 12:50:36","2010-11-04 12:50:36",
98,"Nord-Pas-de-Calais",7,"2010-11-04 12:50:36","2010-11-04 12:50:36",
99,"Pays de la Loire",7,"2010-11-04 12:50:36","2010-11-04 12:50:36",
