"id","name","created_at","updated_at","position"
1,"Linienbandkeramik","2010-11-04 12:51:19","2010-11-04 12:51:19",
2,"Rössen","2010-11-04 12:51:19","2010-11-04 12:51:19",
3,"Stichbandkeramik","2010-11-04 12:51:19","2010-11-04 12:51:19",
4,"Hinkelstein","2010-11-04 12:51:19","2010-11-04 12:51:19",
5,"Großgartach","2010-11-04 12:51:19","2010-11-04 12:51:19",
6,"La Hoguette","2010-11-04 12:51:19","2010-11-04 12:51:19",
7,"Egolzwil","2010-11-04 12:51:19","2010-11-04 12:51:19",
8,"Wauwil","2010-11-04 12:51:19","2010-11-04 12:51:19",
9,"Bischheim","2010-11-04 12:51:19","2010-11-04 12:51:19",
10,"Straßburg","2010-11-04 12:51:19","2010-11-04 12:51:19",
11,"Aichbühl","2010-11-04 12:51:19","2010-11-04 12:51:19",
12,"Schwieberdingen","2010-11-04 12:51:19","2010-11-04 12:51:19",
13,"Münchshöfen","2010-11-04 12:51:19","2010-11-04 12:51:19",
14,"Gatersleben","2010-11-04 12:51:19","2010-11-04 12:51:19",
15,"Zürich","2010-11-04 12:51:19","2010-11-04 12:51:19",
16,"Lutzengüetle","2010-11-04 12:51:19","2010-11-04 12:51:19",
17,"Cortaillod","2010-11-04 12:51:19","2010-11-04 12:51:19",
18,"Pfyn","2010-11-04 12:51:19","2010-11-04 12:51:19",
19,"Munzingen","2010-11-04 12:51:19","2010-11-04 12:51:19",
20,"Polling","2010-11-04 12:51:19","2010-11-04 12:51:19",
21,"Michelsberg","2010-11-04 12:51:19","2010-11-04 12:51:19",
22,"Schussenried","2010-11-04 12:51:19","2010-11-04 12:51:19",
23,"Altheim","2010-11-04 12:51:19","2010-11-04 12:51:19",
24,"Baalberge","2010-11-04 12:51:19","2010-11-04 12:51:19",
25,"Hutberg","2010-11-04 12:51:19","2010-11-04 12:51:19",
26,"Trichterbecher-Westgruppe","2010-11-04 12:51:19","2010-11-04 12:51:19",
27,"Trichterbecher-Nordgruppe","2010-11-04 12:51:19","2010-11-04 12:51:19",
28,"Trichterbecher-Ostgruppe","2010-11-04 12:51:19","2010-11-04 12:51:19",
29,"Wartberg","2010-11-04 12:51:19","2010-11-04 12:51:19",
30,"Cham","2010-11-04 12:51:19","2010-11-04 12:51:19",
31,"Horgen","2010-11-04 12:51:19","2010-11-04 12:51:19",
32,"Walternienburg","2010-11-04 12:51:19","2010-11-04 12:51:19",
33,"Bernburg","2010-11-04 12:51:19","2010-11-04 12:51:19",
34,"Trichterbecher-Altmark","2010-11-04 12:51:19","2010-11-04 12:51:19",
35,"Elb-Havel","2010-11-04 12:51:19","2010-11-04 12:51:19",
36,"Lüscherz","2010-11-04 12:51:19","2010-11-04 12:51:19",
37,"Auvernier","2010-11-04 12:51:19","2010-11-04 12:51:19",
38,"Schnurkeramik","2010-11-04 12:51:19","2010-11-04 12:51:19",
39,"Einzelgrabkultur","2010-11-04 12:51:19","2010-11-04 12:51:19",
40,"All Over Ornamented Beaker","2010-11-04 12:51:19","2010-11-04 12:51:19",
41,"Glockenbecher","2010-11-04 12:51:19","2010-11-04 12:51:19",
42,"Goldberg III","2010-11-04 12:51:19","2010-11-04 12:51:19",
43,"Kugelamphoren","2010-11-04 12:51:19","2010-11-04 12:51:19",
44,"Schönfeld","2010-11-04 12:51:19","2010-11-04 12:51:19",
45,"Riesenbecher","2010-11-04 12:51:19","2010-11-04 12:51:19",
46,"Grübchenkeramik","2010-11-04 12:51:19","2010-11-04 12:51:19",
47,"Nordisches Spätneolithikum","2010-11-04 12:51:19","2010-11-04 12:51:19",
48,"Seine-Oise-Marne","2010-11-04 12:51:19","2010-11-04 12:51:19",
49,"Salzmünde","2010-11-04 12:51:19","2010-11-04 12:51:19",
52,"Cardial","2010-11-04 12:51:19","2010-11-04 12:51:19",
55,"Bosáca","2010-11-04 12:51:19","2010-11-04 12:51:19",
56,"Bükker Kultur","2010-11-04 12:51:19","2010-11-04 12:51:19",
57,"Epi-Lengyel","2010-11-04 12:51:19","2010-11-04 12:51:19",
58,"Furchenstichkeramik","2010-11-04 12:51:19","2010-11-04 12:51:19",
59,"Kostolac","2010-11-04 12:51:19","2010-11-04 12:51:19",
60,"Lengyel","2010-11-04 12:51:19","2010-11-04 12:51:19",
61,"Mondsee","2010-11-04 12:51:19","2010-11-04 12:51:19",
63,"Rivnác","2010-11-04 12:51:19","2010-11-04 12:51:19",
64,"Vucedol","2010-11-04 12:51:19","2010-11-04 12:51:19",
65,"Baden","2010-11-04 12:51:19","2010-11-04 12:51:19",
66,"Cerny","2010-11-04 12:51:19","2010-11-04 12:51:19",
67,"Ertebølle-Ellerbek","2010-11-04 12:51:19","2010-11-04 12:51:19",
68,"Frühbronzezeit","2010-11-04 12:51:19","2010-11-04 12:51:19",
69,"Frühbronzezeit-Rhône","2010-11-04 12:51:19","2010-11-04 12:51:19",
70,"Hazendonk","2010-11-04 12:51:19","2010-11-04 12:51:19",
71,"Lengyel-Pólgar","2010-11-04 12:51:19","2010-11-04 12:51:19",
72,"Limburger Mittelneolithikum","2010-11-04 12:51:19","2010-11-04 12:51:19",
73,"Meso-/Neolithikum","2010-11-04 12:51:19","2010-11-04 12:51:19",
74,"Mesolithikum","2010-11-04 12:51:19","2010-11-04 12:51:19",
75,"Neolithikum","2010-11-04 12:51:19","2010-11-04 12:51:19",
76,"Pfyn-Altheim","2010-11-04 12:51:19","2010-11-04 12:51:19",
77,"Saône-Rhône","2010-11-04 12:51:19","2010-11-04 12:51:19",
78,"Swifterbant","2010-11-04 12:51:19","2010-11-04 12:51:19",
79,"Vlaardingen","2010-11-04 12:51:19","2010-11-04 12:51:19",
80,"Tiefstich","2010-11-04 12:51:19","2010-11-04 12:51:19",
