"id","name","dating_method_id","lab_code","created_at","updated_at","position","country","active"
493,"Centre de Datation par le RadioCarbone",,"CRC","2010-11-04 12:55:02","2010-11-04 12:55:02",,"France",t
247,"Arizona",,"A","2010-11-04 12:55:02","2010-11-04 12:55:02",,"USA",t
248,"NSF",,"AA","2010-11-04 12:55:02","2010-11-04 12:55:02",,"USA",t
249,"University of Aarhus",,"AAR","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Denmark",t
250,"Ingeis",,"AC","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Argentina",t
257,"ANU Accelerator",,"ANUA","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Australia",t
259,"Bern",,"B","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Switzerland",t
260,"Bratislava",,"Ba","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Slovakia",t
262,"Beta Analytic",,"Beta","2010-11-04 12:55:02","2010-11-04 12:55:02",,"USA",t
266,"Berlin",,"Bln","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Germany",t
269,"Birbal Sahni Institute",,"BS","2010-11-04 12:55:02","2010-11-04 12:55:02",,"India",t
270,"Brock University",,"BSG","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Canada",t
272,"Center for Accelerator Mass Spectrometry",,"CAMS","2010-11-04 12:55:02","2010-11-04 12:55:02",,"USA",t
274,"Centro Energia Nuclear na Agricultura",,"CENA","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Brazil",t
275,"Institute of Geology",,"CG","2010-11-04 12:55:02","2010-11-04 12:55:02",,"China",t
278,"Czech Radiocarbon Laboratory",,"CRL","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Czech Republic",t
279,"Geochronology Lab, IQFR-CSIC, Madrid",,"CSIC","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Spain",t
282,"Charles University",,"CU","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Czech Republic",t
287,"Debrecen",,"Deb","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Hungary",t
288,"Lab. of Archaeometry, NCSR Demokritos",,"DEM","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Greece",t
290,"Institut Fondamental d’Afrique Noire (IFAN)",,"DK","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Senegal",t
292,"ENEA, Bologna",,"ENEA","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Italy",t
293,"Erlangen AMS Facility",,"Erl","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Germany",t
294,"ETH/AMS Facility",,"ETH","2010-11-04 12:55:02","2010-11-04 12:55:02",,"Switzerland",t
