"id","short_citation","year","author","long_citation","url","created_at","updated_at","approved","bibtex"
1,"Aarup Jensen 1973","1973","Aarup Jensen, J.","Bopladsen Myrhøj, 3 hustomter med klokkenbaegerkeramik. Kuml 1972, 61-122","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
948,"Pryor et al. 1998","1998","Pryor, Francis and Armour-Chelu, Miranda and Ambers, Janet and Heritage, English","Etton: excavations at a Neolithic causewayed enclosure near Maxey, Cambridgeshire, 1982-7 18 (1998).","","2014-05-23 08:40:00.205239","2014-05-23 08:40:00.205239",,"@book{pryor1998etton,
  title={Etton: excavations at a Neolithic causewayed enclosure near Maxey, Cambridgeshire, 1982-7},
  author={Pryor, Francis and Armour-Chelu, Miranda and Ambers, Janet and Heritage, English},
  volume={18},
  year={1998},
  publisher={English Heritage London}
}"
7,"Beer et al. 1979","1979","Beer, J. / Giertz, V. / Oeschger, M. / Möll, H. / Riesen, T. / Strahm, C.","The contribution of the swiss lake-dwellings to the calibration of radiocarbon dates. In: Berger, R. / Suess, H. (Hrsg.), Radiocarbon dating. Proceedings of the ninth conference Los Angeles and La Jolla 1976. Berkeley. 566-584.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
953,"Healy/Unit 1988","1988","Healy, Frances and Unit, Norfolk Archaeological","The Anglo-Saxon Cemetery at Spong Hill, North Elmham, Part VI: Occupation During the Seventh to Second Millennia BC. (1988).","","2014-05-23 10:40:53.675238","2014-05-23 10:40:53.675238",,"@book{healy1988anglo,
  title={The Anglo-Saxon Cemetery at Spong Hill, North Elmham, Part VI: Occupation During the Seventh to Second Millennia BC.},
  author={Healy, Frances and Unit, Norfolk Archaeological},
  year={1988},
  publisher={Norfolk Archaeological Unit}
}"
17,"Boas 1991","1991","Boas, Nils Axel","Late Neolithic and Bronze Age Settlements at Hemmend Church and Hemmend Plantation, East Jutland. Journal of Danish Archaeology 10, 1991, 119-135.","","2010-11-04 12:59:43","2014-05-28 09:39:03.166959",,"@article{GBV-560907575,
 author = {Boas, Niels Axel},
 title = {Late Neolithic and Bronze Age Settlements at Hemmed Church and
Hemmed Plantation, East Jutland},
 journal = {Journal of Danish archaeology},
 year = {1991},
 volume = {10},
 pages = {119-135},
}"
1000,"Fox 1963","1963","Fox, A","Neolithic charcoal from Hembury'. Antiquity 37, 1963, 228--9.","","2014-06-20 10:21:32.477871","2014-06-20 10:21:32.477871",,"@article{fox1963neolithic,
  title={Neolithic charcoal from Hembury'},
  author={Fox, A},
  journal={Antiquity},
  volume={37},
  pages={228--9},
  year={1963}
}"
1001,"Liddell 1930","1930","Liddell, Dorothy M","Report on the excavations at Hembury Fort, Devon, 1930 (1930).","","2014-06-20 10:21:32.484849","2014-06-20 10:21:32.484849",,"@book{liddell1930report,
  title={Report on the excavations at Hembury Fort, Devon, 1930},
  author={Liddell, Dorothy M},
  year={1930}
}"
1044,"Linick 1977","1977","T. W. Linick","T. W. Linick, La Jolla radiocarbon measurements VII. Radiocarbon, 19, 19-48.

","https://journals.uair.arizona.edu/index.php/radiocarbon/article/view/471","2014-07-02 14:36:17.091772","2014-07-02 14:36:17.091772",,"
@article{linick_jolla_2006,
	title = {La Jolla natural radiocarbon measurements VII.},
	volume = {19},
	issn = {0033-8222},
	url = {https://journals.uair.arizona.edu/index.php/radiocarbon/article/view/471},
	doi = {10.2458/azu_js_rc.19.471},
	abstract = {La Jolla natural radiocarbon measurements {VII}.},
	number = {1},
	urldate = {2014-07-02},
	journal = {Radiocarbon},
	author = {Linick, T. W.},
	month = mar,
	year = {2006},
	keywords = {absolute age, C 14, California, carbon, Cenozoic, dates, geochronology, isotopes, La Jolla California, methods, Quaternary, radioactive isotopes, San Diego County California, shells, United States},
	pages = {19--48}
}"
1045,"Gimbutas et al. 1989","1989","M. A. Gimbutas/S. A. Winn/D. Shimabuku","M. A. Gimbutas/S. A. Winn/D. Shimabuku, Achilleion: A Neolithic Settlement in Thessaly Greece 6500-5600 BC. Monumenta Archeologica 14, Los Angeles: University of California, Institute of Archaeology (Los Angeles 1989).


","","2014-07-02 14:36:17.096018","2014-07-02 14:36:17.096018",,""
1046,"Perlès 2001","2001","C. Perlès"," C. Perlès, The early Neolithic in Greece : the first farming communities in Europe (Cambridge [u.a.] 2001).","","2014-07-02 14:36:17.099407","2014-07-02 14:36:17.099407",,"
@book{GBV-330106643,
 author = {Perlès, Catherine},
 editor = {Monthel, Gérard},
 title = {The early Neolithic in Greece : the first farming communities in
Europe},
 publisher = {Cambridge Univ. Press},
 year = {2001},
 series = {Cambridge world archaeology},
 address = {Cambridge [u.a.]},
 note = {Literaturverz. S. [306] - 343},
 pages = {XIV, 356 S},
}"
679,"Håkansson","1970","Sören Håkansson","University of Lund Radiocarbon Dates III. Radiocarbon 12 / 2, 2006.","","2011-10-18 13:22:43.777077","2014-07-04 12:43:27.09974",,"@article{azu_js_rc257,
	author = {Soren Haakansson},
	title = {University of Lund Radiocarbon Dates III},
	journal = {Radiocarbon},
	volume = {12},
	number = {2},
	year = {2006},
	issn = {0033-8222},
}"
16,"Bill 1977","1977","Bill, J.","Gedanken zur jungsteinzeitlichen Siedlung von Egolzwil 3. Festschrift Walter Drack. Zürich. 17-23.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
1317,"Burenhult 1984","1984","Burenhult, G","The archaeology of Carrowmore. Environmental archaeology and the megalithic tradition at Carrowmore, Co. Sligo, Ireland, 1984.","","2015-02-16 12:02:57.506644","2015-02-16 12:02:57.506644",,"@article{burenhult1984archaeology,
  title={The archaeology of Carrowmore},
  author={Burenhult, G},
  journal={Environmental archaeology and the megalithic tradition at Carrowmore, Co. Sligo, Ireland},
  year={1984}
}"
19,"Brinch Pedersen 1974","1974","Brinch Pedersen, Erik","Gravene ved Dragsholm. Frau jægere til bønder for 6000 år siden. Nationalmuseets Arbejdsmark, 112-120.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
23,"Claßen 1998","1998","Claßen, Erich","Der linearbandkeramische Siedlungsplatz Frimmersdorf 122, Erftkreis. (unpubl. Magisterarbeit Köln 1998)","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
29,"Dombek 1989","1989","Dombek, Georg","Die 14C-Daten von Ulm-Eggingen. In: Claus-Joachim Kind, Ulm-Eggingen. Die Ausgrabungen 1982-1985 in der bandkeramischen Siedlung und der mittelalterlichen Wüstung. Forschungen und Berichte zur Vor- und Frühgeschichte in Baden-Württemberg 34. Stuttgart. 401-412.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
34,"Eriksen 1984","1984","Eriksen, Palle","Det neolitiske bopladskomplex ved Fannerup. Kuml, 9-76.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
1252,"Ramsey et al. 2002","2002","Ramsey, C. Bronk and Higham, T. F. G. and Owen, D. C. and Pike, A. W. G. and Hedges, R. E. M.","Radiocarbon Dates from the Oxford Ams System: Archaeometry Datelist 31. Archaeometry 44, 2002, 1--150.","","2015-01-19 10:26:00.583495","2015-01-19 10:26:00.583495",,"@article{ramsey_radiocarbon_2002,
	title = {Radiocarbon Dates from the Oxford Ams System: Archaeometry Datelist 31},
	volume = {44},
	copyright = {University of Oxford, 2002},
	issn = {1475-4754},
	shorttitle = {Radiocarbon Dates from the Oxford Ams System},
	url = {http://onlinelibrary.wiley.com/doi/10.1111/j.1475-4754.2002.tb01101.x/abstract},
	doi = {10.1111/j.1475-4754.2002.tb01101.x},
	language = {en},
	urldate = {2015-01-19},
	journal = {Archaeometry},
	author = {Ramsey, C. Bronk and Higham, T. F. G. and Owen, D. C. and Pike, A. W. G. and Hedges, R. E. M.},
	year = {2002},
	pages = {1--150}
}"
1254,"Ramsey et al. 1999","1999","Ramsey, C. Bronk and Pettitt, P. B. and Hedges, R. E. M. and Hodgins, G. W. L.","Radiocarbon Dates from the Oxford Ams System: Archaeometry Datelist 27. Archaeometry 41 / 1, 1999, 197--206.","","2015-01-19 10:28:34.864818","2015-01-19 10:28:34.864818",,"@article{ramsey_radiocarbon_1999,
	title = {Radiocarbon Dates from the Oxford Ams System: Archaeometry Datelist 27},
	volume = {41},
	issn = {1475-4754},
	shorttitle = {Radiocarbon Dates from the Oxford Ams System},
	url = {http://onlinelibrary.wiley.com/doi/10.1111/j.1475-4754.1999.tb00861.x/abstract},
	doi = {10.1111/j.1475-4754.1999.tb00861.x},
	language = {en},
	number = {1},
	urldate = {2015-01-19},
	journal = {Archaeometry},
	author = {Ramsey, C. Bronk and Pettitt, P. B. and Hedges, R. E. M. and Hodgins, G. W. L.},
	year = {1999},
	pages = {197--206}
}"
