"id","name","culture_id","created_at","updated_at","position","approved"
10,"Notenkopfphase der entwickelteren LBK",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
11,"Notenkopf-Stufe",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
12,"Phase Ib der niederländischen LBK",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
13,"Phase Ic",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
14,"Phase Ic der niederländischen LBK",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
15,"Notenkopf/Zeliezovce",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
16,"Phase IIa",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
17,"mittlere bis späte LBK (Zeliezovce-Typ)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
18,"Phase Id der niederländischen LBK",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
19,"möglicherweise älteste oder ältere",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
20,"mittlere LBK (Phase IIa-c der böhmischen LBK)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
21,"Phase IIc der niederländischen LBK",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
22,"mittlere LBK",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
23,"Sárka-Stufe (Übergang LBK - Stichbandkeramik)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
24,"Langweiler 2, Phase 3.",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
25,"Langweiler 2, Phase 2b",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
26,"Langweiler 2, Phase 2a (IIa/b nach Modderman)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
27,"Langweiler 2, Phase 1",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
28,"mittlere LBK (Phase IIa)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
29,"späte LBK (Sárka-Phase)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
30,"Zeliezovce-Gruppe",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
31,"Zeliezovce (späte LBK)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
32,"Übergang Periode III-IV",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
33,"Übergang Mesolithikum/Neolithikum",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
34,"späte Notenkopfkeramik",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
35,"späte LBK/Notenkopfkeramik",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
36,"späte LBK (späte Phase der Zeliezovce-Gruppe)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
37,"Phase IV (bzw. V) der böhmischen LBK",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
38,"späte LBK (Sárka-Typ); Phase IIa-c der böhm. LBK",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
39,"Phase IId",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
40,"späte LBK (Phase IIa-c der böhmischen LBK)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
41,"späte LBK (mittlere Phase der Zeliezovce-Gruppe)",1,"2010-11-04 13:39:46","2010-11-04 13:39:46",,
