"id","lab_id","lab_nr","bp","std","delta_13_c","delta_13_c_std","prmat_id","prmat_comment","comment","feature","feature_type_id","phase_id","site_id","approved","right_id","created_at","updated_at","dating_method_id","contact_e_mail","creator_ip"
4230,495,"4090",4385,55,,,2,"Kn, Mensch","# Datum 2x vergeben!","Schädel",3,258,2343,t,1,"","2014-03-31 08:03:29.658525",,"",""
1035,317,"8394",5090,45,,,3,"","Getreideschicht in Horizont 2 repräsentiert Jahresernte.","Horizont 2.",1,284,127,t,1,"2010-11-04 15:24:20","2014-07-16 10:20:17.760689",,"",""
1034,317,"8393",5200,75,,,14,"Pflanzendetritus in Getreideschicht.","Getreideschicht in Horizont 2 repräsentiert Jahresernte.","Horizont 2.",1,284,127,t,1,"2010-11-04 15:24:20","2014-07-16 10:21:04.995834",,"",""
1033,317,"8386",5090,40,,,3,"Wurzeln und Getreide in Getreideschicht.","Getreideschicht in Horizont 2 repräsentiert Jahresernte.","Horizont 2.",1,284,127,t,1,"2010-11-04 15:24:20","2014-07-16 10:21:51.814212",,"",""
1032,317,"8385",5020,40,,,14,"Wurzeln in Getreideschicht.","Getreideschicht in Horizont 2 repräsentiert Jahresernte.","Horizont 2.",1,284,127,t,1,"2010-11-04 15:24:20","2014-07-16 10:22:41.233849",,"",""
1030,317,"8152",6070,40,,,2,"Menschliche Fußknochen, Wirbel, Rippen. Ca. 120 g.","","Grab 21.",2,66,142,t,1,"2010-11-04 15:24:20","2014-07-16 10:24:13.773716",,"",""
1027,317,"8099",5970,70,,,2,"Menschliche Wirbel. Ca. 120 g.","","Grab 21.",2,66,142,t,1,"2010-11-04 15:24:20","2014-07-16 10:26:54.646606",,"",""
1025,317,"8096",6000,55,,,2,"Menschliche Fußknochen, Wirbel, Rippen. Ca. 120 g.","","Grab 6.",2,66,142,t,1,"2010-11-04 15:24:20","2014-07-16 10:28:10.824248",,"",""
1024,317,"8087",6040,60,,,2,"Menschlicher Wirbelknochen. Ca. 120 g.","","Grab 6.",2,66,142,t,1,"2010-11-04 15:24:20","2014-07-16 10:28:52.979722",,"",""
10198,259,"769",7690,120,,,1,"Holzkohle","according to BANADORA-DB: culture: Beuronien
according to BANADORA-URL: http://www.archeometrie.mom.fr/banadora/echantillon.php?num=22190

","Info Meso III",7,286,2721,,1,"2014-07-16 08:17:28.150528","2014-07-16 10:30:35.354875",,"","134.245.38.100"
