"id","name","parish","district","country_subdivision_id","created_at","updated_at","lat","lng"
369,"Nordhausen 2","","Gotha",177,"2010-11-04 13:44:43","2011-09-13 11:21:35.832903",51.5166667,10.8
373,"Stotternheim","","Stadt Erfurt",177,"2010-11-04 13:44:43","2011-09-13 11:27:19.552195",51.0666667,11.05
768,"Dafter","","Bohuslän",204,"","2012-08-01 08:17:16.028425",58.9,11.2
382,"Rustrup I","Rustrup sogn","",179,"2010-11-04 13:44:43","2011-09-13 13:49:00.900626",56.110487,9.5041640000001
401,"Tibirke, Ellemose","Tibirke sogn","Fredriksborg amt",182,"2010-11-04 13:44:43","2011-09-13 14:27:50.436699",56.048344,12.108704
602,"Heerjansdam","","",188,"2010-11-04 13:44:43","2011-09-14 14:26:27.372159",51.835833,4.563889
402,"Vindinge  C","Vindinge sogn","Københavns amt",181,"2010-11-04 13:44:43","2011-09-13 14:33:13.095794",55.622977,12.138696
83,"Thielle-Mottaz (Neuchatel)","","",158,"2010-11-04 13:44:43","2011-10-14 07:14:05.164168",47.011074,7.029448
1110,"Morlanda 367","","Bohuslän",200,"","2012-08-01 08:11:08.543992",58.16402,11.47873
4,"Frauenhofen","","",147,"2010-11-04 13:44:43","2014-04-01 08:07:34.933988",48.666666666667,15.633333333333
658,"Méhtelek-Nadas","","",306,"2010-11-04 13:44:43","2014-04-29 11:19:07.703406",47.928008,22.846832
438,"Sjørup Plantage","","Viborg amt",179,"2010-11-04 13:44:43","2011-09-13 17:04:53.80712",56.419081,9.0757489999998
440,"Skarrild Overby 6","Skarrild","Ringkøbing amt",179,"2010-11-04 13:44:43","2011-09-13 17:07:50.612173",55.983176,8.868588
443,"Skarrild Overby Hügel 8","Skarrild","Ringkøbing amt",179,"2010-11-04 13:44:43","2011-09-14 06:02:34.975528",55.983176,8.868588
445,"Stendis","","Ringkøbing amt",179,"2010-11-04 13:44:43","2011-09-14 06:21:08.078797",56.414688,8.835093
447,"Tastum  sb 264","","Viborg amt",179,"2010-11-04 13:44:43","2011-09-14 06:28:39.777826",56.50315,9.0574200000004
470,"Sønder Tranders","Sønder Tranders","Aalborg amt",178,"2010-11-04 13:44:43","2011-09-14 06:53:32.529589",57.013961,9.9818989999999
476,"Volstrup","Øster Hornum sogn","Aalborg amt",178,"2010-11-04 13:44:43","2011-09-14 07:06:52.781569",56.955528,9.7763150000004
610,"Lunteren","","",108,"2010-11-04 13:44:43","2011-09-14 15:02:39.6666",52.085,5.622222
616,"Molenaarsgraaf","","",188,"2010-11-04 13:44:43","2011-09-14 15:37:57.23198",51.875,4.825
619,"Odoorn","","",105,"2010-11-04 13:44:43","2011-09-14 15:41:25.433178",52.849167,6.851389
623,"Rijckholt","","",110,"2010-11-04 13:44:43","2011-09-15 06:19:08.594779",50.799167,5.731944
627,"Sittard","","",110,"2010-11-04 13:44:43","2011-09-15 06:30:23.028103",50.998333,5.869444
630,"Stein","","",110,"2010-11-04 13:44:43","2011-09-15 06:58:50.49235",50.969167,5.766667
633,"Vaassen","","",108,"2010-11-04 13:44:43","2011-09-15 07:02:54.314771",52.285833,5.966667
634,"Valkenburg, Geböske","","",110,"2010-11-04 13:44:43","2011-09-15 07:11:10.313903",50.864167,5.830556
637,"Vlaardingen","","",188,"2010-11-04 13:44:43","2011-09-15 07:44:32.21583",51.9125,4.341667
644,"Bronocice","","",190,"2010-11-04 13:44:43","2011-09-15 08:33:02.015782",50.340173,20.362473
646,"Cmielów","","",190,"2010-11-04 13:44:43","2011-09-15 08:59:57.513108",50.883333333333,21.566666666667
649,"Kesocha","","",192,"2010-11-04 13:44:43","2011-09-15 09:19:15.484383",53.133333333333,20.6
655,"Miernów","","",190,"2010-11-04 13:44:43","2011-09-15 09:28:21.814079",50.339325384028,20.594902038574
669,"Skoroszowice","","",195,"2010-11-04 13:44:43","2011-09-15 11:51:19.911363",50.7,17.0166667
672,"Stryczowice","","",190,"2010-11-04 13:44:43","2011-09-15 11:59:28.702164",50.866666666666,21.716666666667
676,"Zarębowo","","",145,"2010-11-04 13:44:43","2011-09-15 12:12:18.735819",52.745478,18.590511
1467,"Elinelund","","",209,"2011-11-21 12:08:47.777749","2014-06-26 07:41:36.203999",55.563056,12.952222
678,"Kecovo, Domica-Höhle","","",173,"2010-11-04 13:44:43","2011-09-15 12:16:07.369123",48.483333333333,20.483333333333
701,"Jordløse mose","","",180,"","2011-09-15 12:49:36.783356",55.198911,10.15564
702,"Bjørnsholm","","",178,"","2011-09-15 12:51:14.378174",56.871537,9.213137
705,"Borum Eshøj","","",179,"","2011-09-15 12:54:42.185145",56.2166667,9.9833332999997
